syllable,frequency
in,10
on,10
ou,8
ne,7
th,7
ar,6
ce,6
es,6
ng,6
re,6
ti,6
ing,5
ion,5
an,5
ed,5
en,5
er,5
im,5
io,5
me,5
ro,5
ss,5
ta,5
